,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Active Cases/1M pop,Date,Country Code
95,Kenya,323792.0,4.0,5649.0,,318002.0,8.0,141.0,,5788.0,101.0,3602311.0,64399.0,55937629.0,Africa,173.0,9902.0,16.0,3.0,2022-05-03,KEN
96,Zambia,319755.0,,3976.0,,315266.0,,513.0,1.0,16546.0,206.0,3429405.0,177456.0,19325435.0,Africa,60.0,4861.0,6.0,27.0,2022-05-03,ZMB
97,North Macedonia,309769.0,21.0,9280.0,2.0,299865.0,71.0,624.0,,148697.0,4455.0,2022649.0,970925.0,2083218.0,Europe,7.0,224.0,1.0,300.0,2022-05-03,MKD
98,Botswana,305859.0,,2688.0,,303026.0,,145.0,1.0,125430.0,1102.0,2026898.0,831215.0,2438477.0,Africa,8.0,907.0,1.0,59.0,2022-05-03,BWA
99,Albania,275177.0,14.0,3496.0,,271306.0,33.0,375.0,2.0,95812.0,1217.0,1807808.0,629449.0,2872048.0,Europe,10.0,822.0,2.0,131.0,2022-05-03,ALB
100,Algeria,265782.0,,6875.0,,178358.0,,80549.0,6.0,5867.0,152.0,230861.0,5096.0,45299522.0,Africa,170.0,6589.0,196.0,1778.0,2022-05-03,DZA
101,Nigeria,255753.0,13.0,3143.0,,249911.0,3.0,2699.0,11.0,1187.0,15.0,5075820.0,23556.0,215483403.0,Africa,843.0,68560.0,42.0,13.0,2022-05-03,NGA
102,Zimbabwe,247935.0,55.0,5470.0,,241850.0,11.0,615.0,12.0,16249.0,358.0,2259285.0,148065.0,15258752.0,Africa,62.0,2790.0,7.0,40.0,2022-05-03,ZWE
103,Uzbekistan,238628.0,1.0,1637.0,,236746.0,10.0,245.0,23.0,6946.0,48.0,1377915.0,40106.0,34356605.0,Asia,144.0,20988.0,25.0,7.0,2022-05-03,UZB
104,Luxembourg,237856.0,1479.0,1064.0,,227197.0,2420.0,9595.0,3.0,368993.0,1651.0,4227288.0,6557920.0,644608.0,Europe,3.0,606.0,0.0,14885.0,2022-05-03,LUX
105,Montenegro,235338.0,65.0,2715.0,1.0,231918.0,114.0,705.0,6.0,374616.0,4322.0,2454364.0,3906910.0,628211.0,Europe,3.0,231.0,0.0,1122.0,2022-05-03,MNE
106,Mozambique,225387.0,,2201.0,,223138.0,5.0,48.0,13.0,6860.0,67.0,1313728.0,39984.0,32856704.0,Africa,146.0,14928.0,25.0,1.0,2022-05-03,MOZ
107,Laos,207867.0,134.0,745.0,1.0,7660.0,,199462.0,,27832.0,100.0,1232128.0,164972.0,7468707.0,Asia,36.0,10025.0,6.0,26706.0,2022-05-03,LAO
108,Kyrgyzstan,200993.0,,2991.0,,196405.0,,1597.0,131.0,29905.0,445.0,1907195.0,283762.0,6721105.0,Asia,33.0,2247.0,4.0,238.0,2022-05-03,KGZ
109,Iceland,185579.0,58.0,119.0,,75685.0,,109775.0,,537451.0,345.0,1953616.0,5657817.0,345295.0,Europe,2.0,2902.0,0.0,317917.0,2022-05-03,ISL
110,Maldives,179171.0,,298.0,,163687.0,,15186.0,25.0,321119.0,534.0,2213831.0,3967731.0,557959.0,Asia,3.0,1872.0,0.0,27217.0,2022-05-03,MDV
111,Afghanistan,178901.0,,7683.0,,161896.0,,9322.0,1124.0,4414.0,190.0,944738.0,23309.0,40531821.0,Asia,227.0,5276.0,43.0,230.0,2022-05-03,AFG
112,Taiwan,173942.0,23128.0,876.0,5.0,28721.0,929.0,144345.0,,7279.0,37.0,14936942.0,625091.0,23895647.0,Asia,137.0,27278.0,2.0,6041.0,2022-05-03,TWN
113,Uganda,164069.0,,3596.0,,100205.0,,60268.0,2.0,3391.0,74.0,2612795.0,54003.0,48382232.0,Africa,295.0,13454.0,19.0,1246.0,2022-05-03,UGA
114,El Salvador,162089.0,,4128.0,,150662.0,,7299.0,8.0,24761.0,631.0,1950448.0,297956.0,6546087.0,North America,40.0,1586.0,3.0,1115.0,2022-05-03,SLV
115,Ghana,161204.0,12.0,1445.0,,159712.0,25.0,47.0,1.0,4997.0,45.0,2437331.0,75554.0,32259308.0,Africa,200.0,22325.0,13.0,1.0,2022-05-03,GHA
116,Namibia,158811.0,63.0,4025.0,,153662.0,,1124.0,,60498.0,1533.0,1007690.0,383870.0,2625079.0,Africa,17.0,652.0,3.0,428.0,2022-05-03,NAM
117,Martinique,153253.0,,926.0,,104.0,,152223.0,8.0,408966.0,2471.0,828928.0,2212050.0,374733.0,North America,2.0,405.0,0.0,406217.0,2022-05-03,MTQ
118,Trinidad and Tobago,148630.0,347.0,3833.0,5.0,136167.0,335.0,8630.0,18.0,105578.0,2723.0,708367.0,503180.0,1407780.0,North America,9.0,367.0,2.0,6130.0,2022-05-03,TTO
119,Brunei,141911.0,168.0,218.0,,141022.0,937.0,671.0,1.0,318799.0,490.0,717784.0,1612480.0,445143.0,Asia,3.0,2042.0,1.0,1507.0,2022-05-03,BRN
120,Guadeloupe,140130.0,,854.0,,2250.0,,137026.0,19.0,350107.0,2134.0,938039.0,2343639.0,400249.0,North America,3.0,469.0,0.0,342352.0,2022-05-03,GLP
